symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SPY,2001-11-19 00:00:00+00:00,115.769997,115.849998,114.449997,114.919998,13625400,79.6565394861,79.7115848604,78.7483021634,79.0716903831,13625400,0.0,1.0
SPY,2001-11-20 00:00:00+00:00,114.800003,115.800003,114.639999,115.370003,16209700,78.989126794,79.6771853718,78.8790346693,79.3813201834,16209700,0.0,1.0
SPY,2001-11-21 00:00:00+00:00,114.040001,114.669998,113.510002,114.5,11470200,78.4662008988,78.8996757386,78.1015305406,78.7827071565,11470200,0.0,1.0
SPY,2001-11-23 00:00:00+00:00,115.68,115.75,114.0,114.040001,6717100,79.5946162783,79.6427803787,78.4386778676,78.4662008988,6717100,0.0,1.0
SPY,2001-11-26 00:00:00+00:00,115.93,116.339996,115.07,115.75,13726000,79.7666309227,80.0487321874,79.1749005458,79.6427803787,13726000,0.0,1.0
SPY,2001-11-27 00:00:00+00:00,115.43,116.900002,114.089996,115.620003,19261400,79.4226016339,80.4340491193,78.5006003874,79.5533348278,19261400,0.0,1.0
SPY,2001-11-28 00:00:00+00:00,113.339996,115.169998,113.25,114.739998,20195500,77.984556454,79.2437050275,77.9226339343,78.9478398391,20195500,0.0,1.0
SPY,2001-11-29 00:00:00+00:00,114.870003,114.919998,113.0,113.660004,16354700,79.0372908945,79.0716903831,77.7506192898,78.2047407034,16354700,0.0,1.0
SPY,2001-11-30 00:00:00+00:00,114.050003,114.910004,114.019997,114.400002,13680300,78.4730828607,79.0648139256,78.452436975,78.7139026748,13680300,0.0,1.0
SPY,2001-12-03 00:00:00+00:00,113.370003,114.080002,113.010002,113.650002,15220400,78.0052030278,78.49372393,77.7575012517,78.1978587415,15220400,0.0,1.0
SPY,2001-12-04 00:00:00+00:00,115.290001,115.300003,113.349998,113.919998,17239900,79.326274121,79.3331560829,77.9914384159,78.3836318053,17239900,0.0,1.0
SPY,2001-12-05 00:00:00+00:00,117.400002,118.0,115.559998,115.610001,25204000,80.7780784082,81.1909121788,79.5120478728,79.5464528659,25204000,0.0,1.0
SPY,2001-12-06 00:00:00+00:00,117.339996,117.940002,116.93,117.339996,17972900,80.7367907652,81.1496300402,80.4546895005,80.7367907652,17972900,0.0,1.0
SPY,2001-12-07 00:00:00+00:00,116.559998,117.089996,115.699997,116.900002,18857800,80.2001064506,80.5647761207,79.6083753857,80.4340491193,18857800,0.0,1.0
SPY,2001-12-10 00:00:00+00:00,114.379997,116.389999,114.349998,115.849998,13862700,78.700138063,80.0831371805,78.6794969937,79.7115848604,13862700,0.0,1.0
SPY,2001-12-11 00:00:00+00:00,114.150002,115.720001,113.900002,114.900002,20833300,78.5418880304,79.6221393095,78.369873386,79.0579319637,20833300,0.0,1.0
SPY,2001-12-12 00:00:00+00:00,114.279999,114.779999,113.110001,114.550003,16171500,78.6313335813,78.9753628702,77.8263064214,78.8171121496,16171500,0.0,1.0
